Frequency(Hz)	Real	Imaginary
1.0	0.013600045478073254	0.01338377872145792
2.0	0.002222833901599393	0.021969005789135042
3.0	-0.012376686721148781	0.022559552617505457
4.0	-0.02517672649042094	0.014636001617384452
5.0	-0.03167235802237237	0.0005490862082803998
6.0	-0.02936836139427299	-0.01522864528434156
7.0	-0.018616978706279742	-0.027543707298525705
8.0	-0.002532437156171771	-0.03222089162822371
9.0	0.013980536607771474	-0.027400919636975055
10.0	0.02575843561840836	-0.014130012255832857
11.0	0.02896919495887547	0.003973275362597171
12.0	0.022252284731617885	0.021844705344640104
13.0	0.007060801932731639	0.03451166347043767
14.0	-0.012871654351223706	0.038538332189275895
15.0	-0.03272945750560203	0.03292596409866364
16.0	-0.048062056269293475	0.019213519852976996
17.0	-0.056003204444856354	0.000798475636065072
18.0	-0.0558880362837541	-0.01824676351446647
19.0	-0.04911712519401828	-0.03443674968951696
20.0	-0.038380220307661174	-0.04578877032766066
21.0	-0.026563754497240247	-0.052115518704610966
22.0	-0.015754178557914528	-0.05465388946605912
23.0	-0.006687653451624756	-0.055228130537255775
24.0	0.0011872629699557467	-0.055302897900427465
25.0	0.009104102916542591	-0.055304086118805655
26.0	0.01810360474352265	-0.054468489431249476
27.0	0.028260109150057753	-0.05127278919457339
28.0	0.0383376208521796	-0.04426603095874021
29.0	0.046039145039629914	-0.0329700548842114
30.0	0.048786132049121585	-0.018476919097393536
31.0	0.044758205436405206	-0.0034740525172796554
32.0	0.033811332504927856	0.00836926983319515
33.0	0.017916040118788588	0.013488147958829804
34.0	0.0009093276376120325	0.009634958526059273
35.0	-0.012417110121923206	-0.0031912309074971475
36.0	-0.017642053665725875	-0.022433810233122572
37.0	-0.012054114256941043	-0.04343146727840161
38.0	0.004413746644024186	-0.06053823018893016
39.0	0.02895773149931115	-0.06860083704641098
40.0	0.05647509620047969	-0.06436780668607082
41.0	0.08078461064298176	-0.04742239386716192
42.0	0.09615515516634543	-0.020374475365753292
43.0	0.09871916209686997	0.011734253804046513
44.0	0.08739387373283336	0.042632648062823464
45.0	0.06408799303617302	0.06628996351193606
46.0	0.03318048066680619	0.07826086359941756
47.0	0.00045483812445324995	0.07657725453784363
48.0	-0.02820153214206788	0.062009363654146846
49.0	-0.04799767551155645	0.03770198634684315
50.0	-0.056074396900547725	0.008349625890301743
